#id,title,imdbRating,year
tt0012349,Der Vagabund und das Kind (1921),8.4,1921
tt0015864,Goldrausch (1925),8.3,1925
tt0017136,Metropolis (1927),8.4,1927
tt0017925,Der General (1926),8.3,1926
tt0021749,Lichter der Großstadt (1931),8.7,1931
tt0022100,M (1931),8.5,1931
tt0025316,Es geschah in einer Nacht (1934),8.3,1934
tt0027977,Moderne Zeiten (1936),8.6,1936
tt0031381,Vom Winde verweht (1939),8.2,1939
tt0031679,Mr. Smith geht nach Washington (1939),8.4,1939
tt0032138,Der Zauberer von Oz (1939),8.1,1939
tt0032551,Früchte des Zorns (1940),8.2,1940
tt0032553,Der große Diktator (1940),8.5,1940
tt0032976,Rebecca (1940),8.3,1940
tt0033467,Citizen Kane (1941),8.5,1941
tt0033870,Die Spur des Falken (1941),8.2,1941
tt0034583,Casablanca (1942),8.6,1942
tt0036775,Frau ohne Gewissen (1944),8.5,1944
tt0036868,Die besten Jahre unseres Lebens (1946),8.3,1946
tt0038355,Tote schlafen fest (1946),8.1,1946
tt0038650,It's a Wonderful Life (1946),8.7,1946
tt0038787,Berüchtigt (1946),8.2,1946
tt0040522,Fahrraddiebe (1948),8.4,1948
tt0040746,Cocktail für eine Leiche (1948),8.1,1948
tt0040897,Der Schatz der Sierra Madre (1948),8.4,1948
tt0041959,Der dritte Mann (1949),8.4,1949
tt0042192,Alles über Eva (1950),8.4,1950
tt0042876,Rashomon (1950),8.4,1950
tt0043014,Boulevard der Dämmerung (1950),8.6,1950
tt0044079,Der Fremde im Zug (1951),8.1,1951
tt0044706,Zwölf Uhr mittags (1952),8.2,1952
tt0044741,Ikiru - Einmal richtig leben (1952),8.4,1952
tt0045152,Du sollst mein Glücksstern sein (1952),8.4,1952
tt0046250,Ein Herz und eine Krone (1953),8.1,1953
tt0046359,Stalag 17 (1953),8.1,1953
tt0046911,Die Teuflischen (1955),8.3,1955
tt0046912,Bei Anruf Mord (1954),8.2,1954
tt0047296,Die Faust im Nacken (1954),8.3,1954
tt0047396,Das Fenster zum Hof (1954),8.6,1954
tt0047478,Die sieben Samurai (1954),8.8,1954
tt0047528,Das Lied der Straße (1954),8.2,1954
tt0048424,Die Nacht des Jägers (1955),8.1,1955
tt0049406,Killing (1956),8.1,1956
tt0050083,Die zwölf Geschworenen (1957),8.9,1957
tt0050212,Die Brücke am Kwai (1957),8.3,1957
tt0050825,Wege zum Ruhm (1957),8.5,1957
tt0050976,Das siebente Siegel (1957),8.3,1957
tt0050986,Wilde Erdbeeren (1957),8.3,1957
tt0051201,Zeugin der Anklage (1957),8.5,1957
tt0052311,Im Zeichen des Bösen (1958),8.2,1958
tt0052357,Vertigo - Aus dem Reich der Toten (1958),8.5,1958
tt0052618,Ben Hur (1959),8.2,1959
tt0053125,Der unsichtbare Dritte (1959),8.5,1959
tt0053198,Sie küßten und sie schlugen ihn (1959),8.2,1959
tt0053291,Manche mögen's heiß (1959),8.4,1959
tt0053604,Das Appartement (1960),8.4,1960
tt0053779,Das süße Leben (1960),8.1,1960
tt0054215,Psycho (1960),8.6,1960
tt0054997,Haie der Großstadt (1961),8.1,1961
tt0055031,Das Urteil von Nürnberg (1961),8.3,1961
tt0055630,Die Leibwache (1961),8.4,1961
tt0056172,Lawrence von Arabien (1962),8.4,1962
tt0056592,Wer die Nachtigall stört (1962),8.4,1962
tt0056801,Achteinhalb (1963),8.2,1963
tt0057012,Dr. Seltsam\, oder wie ich lernte\, die Bombe zu lieben (1964),8.6,1964
tt0057115,Gesprengte Ketten (1963),8.3,1963
tt0058461,Für eine Handvoll Dollar (1964),8.1,1964
tt0058946,Schlacht um Algier (1966),8.2,1966
tt0059578,Für ein paar Dollar mehr (1965),8.4,1965
tt0060196,Zwei glorreiche Halunken (1966),9.0,1966
tt0060827,Persona (1966),8.2,1966
tt0061184,Wer hat Angst vor Virginia Woolf? (1966),8.2,1966
tt0061512,Der Unbeugsame (1967),8.2,1967
tt0061722,Die Reifeprüfung (1967),8.1,1967
tt0062622,2001: Odyssee im Weltraum (1968),8.3,1968
tt0064115,Butch Cassidy und Sundance Kid (1969),8.2,1969
tt0064116,Spiel mir das Lied vom Tod (1968),8.7,1968
tt0066921,Uhrwerk Orange (1971),8.4,1971
tt0068646,Der Pate (1972),9.2,1972
tt0070735,Der Clou (1973),8.4,1973
tt0071315,Chinatown (1974),8.3,1974
tt0071562,Der Pate 2 (1974),9.1,1974
tt0071853,Die Ritter der Kokosnuß (1975),8.4,1975
tt0072684,Barry Lyndon (1975),8.1,1975
tt0072890,Hundstage (1975),8.1,1975
tt0073195,Der weiße Hai (1975),8.1,1975
tt0073486,Einer flog über das Kuckucksnest (1975),8.8,1975
tt0074958,Network (1976),8.2,1976
tt0075148,Rocky (1976),8.1,1976
tt0075314,Taxi Driver (1976),8.4,1976
tt0075686,Der Stadtneurotiker (1977),8.2,1977
tt0076759,Krieg der Sterne (1977),8.7,1977
tt0077416,Die durch die Hölle gehen (1978),8.2,1978
tt0078748,Alien - Das unheimliche Wesen aus einer fremden Welt (1979),8.5,1979
tt0078788,Apocalypse Now (1979),8.5,1979
tt0079470,Das Leben des Brian (1979),8.2,1979
tt0079944,Stalker (1979),8.2,1979
tt0080678,Der Elefantenmensch (1980),8.3,1980
tt0080684,Das Imperium schlägt zurück (1980),8.8,1980
tt0081398,Wie ein wilder Stier (1980),8.3,1980
tt0081505,Shining (1980),8.5,1980
tt0082096,Das Boot (1981),8.5,1981
tt0082971,Jäger des verlorenen Schatzes (1981),8.6,1981
tt0083658,Der Blade Runner (1982),8.3,1982
tt0083922,Fanny und Alexander (1982),8.2,1982
tt0083987,Gandhi (1982),8.1,1982
tt0084787,Das Ding aus einer anderen Welt (1982),8.2,1982
tt0085334,Fröhliche Weihnachten (1983),8.1,1983
tt0086190,Die Rückkehr der Jedi-Ritter (1983),8.4,1983
tt0086250,Scarface - Toni\, das Narbengesicht (1983),8.3,1983
tt0086879,Amadeus (1984),8.4,1984
tt0087544,Nausicaä - Prinzessin aus dem Tal der Winde (1984),8.2,1984
tt0087843,Es war einmal in Amerika (1984),8.4,1984
tt0088247,Terminator (1984),8.1,1984
tt0088763,Zurück in die Zukunft (1985),8.5,1985
tt0089881,Ran (1985),8.3,1985
tt0090605,Aliens - Die Rückkehr (1986),8.5,1986
tt0091763,Platoon (1986),8.2,1986
tt0092005,Stand by Me - Das Geheimnis eines Sommers (1986),8.2,1986
tt0092067,Das Schloss im Himmel (1986),8.1,1986
tt0093058,Full Metal Jacket (1987),8.4,1987
tt0093779,Die Braut des Prinzen (1987),8.2,1987
tt0095016,Stirb langsam (1988),8.3,1988
tt0095327,Die letzten Leuchtkäfer (1988),8.5,1988
tt0095765,Cinema Paradiso (1988),8.5,1988
tt0096283,Mein Nachbar Totoro (1988),8.3,1988
tt0097576,Indiana Jones und der letzte Kreuzzug (1989),8.3,1989
tt0099685,GoodFellas - Drei Jahrzehnte in der Mafia (1990),8.8,1990
tt0101414,Die Schöne und das Biest (1991),8.1,1991
tt0102926,Das Schweigen der Lämmer (1991),8.6,1991
tt0103064,Terminator 2 - Tag der Abrechnung (1991),8.5,1991
tt0105236,Reservoir Dogs - Wilde Hunde (1992),8.4,1992
tt0105695,Erbarmungslos (1992),8.3,1992
tt0107048,...und täglich grüßt das Murmeltier (1993),8.1,1993
tt0107207,Im Namen des Vaters (1993),8.2,1993
tt0108052,Schindlers Liste (1993),8.9,1993
tt0109830,Forrest Gump (1994),8.8,1994
tt0110357,Der König der Löwen (1994),8.5,1994
tt0110413,Léon - Der Profi (1994),8.6,1994
tt0110912,Pulp Fiction (1994),9.0,1994
tt0111161,Die Verurteilten (1994),9.3,1994
tt0111495,Drei Farben - Rot (1994),8.1,1994
tt0112471,Before Sunrise - Zwischenstopp in Wien (1995),8.1,1995
tt0112573,Braveheart (1995),8.4,1995
tt0112641,Casino (1995),8.2,1995
tt0113247,Hass (1995),8.1,1995
tt0113277,Heat (1995),8.3,1995
tt0114369,Sieben (1995),8.7,1995
tt0114709,Toy Story (1995),8.3,1995
tt0114746,12 Monkeys (1995),8.1,1995
tt0114787,Underground (1995),8.2,1995
tt0114814,Die üblichen Verdächtigen (1995),8.7,1995
tt0116282,Fargo - Blutiger Schnee (1996),8.2,1996
tt0117951,Trainspotting - Neue Helden (1996),8.2,1996
tt0118694,In the Mood for Love - Der Klang der Liebe (2000),8.1,2000
tt0118715,The Big Lebowski (1998),8.2,1998
tt0118799,Das Leben ist schön (1997),8.6,1997
tt0119217,Good Will Hunting - Der gute Will Hunting (1997),8.2,1997
tt0119488,L.A. Confidential (1997),8.3,1997
tt0119698,Prinzessin Mononoke (1997),8.5,1997
tt0120382,Die Truman Show (1998),8.0,1998
tt0120586,American History X (1998),8.6,1998
tt0120689,The Green Mile (1999),8.5,1999
tt0120735,Bube Dame König grAS (1998),8.2,1998
tt0120737,Der Herr der Ringe - Die Gefährten (2001),8.9,2001
tt0120815,Der Soldat James Ryan (1998),8.6,1998
tt0133093,Matrix (1999),8.7,1999
tt0137523,Fight Club (1999),8.9,1999
tt0154420,Das Fest (1998),8.2,1998
tt0167260,Der Herr der Ringe - Die Rückkehr des Königs (2003),8.9,2003
tt0167261,Der Herr der Ringe - Die zwei Türme (2002),8.8,2002
tt0167404,Sixth Sense (1999),8.2,1999
tt0169102,Lagaan: Once Upon a Time in India (2001),8.3,2001
tt0169547,American Beauty (1999),8.5,1999
tt0172495,Gladiator (2000),8.5,2000
tt0180093,Requiem for a Dream (2000),8.4,2000
tt0198781,Die Monster AG (2001),8.1,2001
tt0208092,Snatch - Schweine und Diamanten (2000),8.4,2000
tt0209144,Memento (2000),8.6,2000
tt0211915,Die fabelhafte Welt der Amelie (2001),8.5,2001
tt0245429,Chihiros Reise ins Zauberland (2001),8.6,2001
tt0245712,Amores perros (2000),8.2,2000
tt0246578,Donnie Darko (2001),8.1,2001
tt0253474,Der Pianist (2002),8.5,2002
tt0266543,Findet Nemo (2003),8.2,2003
tt0266697,Kill Bill: Vol. 1 (2003),8.2,2003
tt0268978,A Beautiful Mind - Genie und Wahnsinn (2001),8.2,2001
tt0317248,City of God (2002),8.7,2002
tt0325980,Fluch der Karibik (2003),8.1,2003
tt0338013,Vergiss mein nicht (2004),8.4,2004
tt0338564,Infernal Affairs - Die achte Hölle (2002),8.2,2002
tt0347149,Das wandelnde Schloss (2004),8.2,2004
tt0353969,Salinui chueok (2003),8.1,2003
tt0361748,Inglourious Basterds (2009),8.3,2009
tt0363163,Der Untergang (2004),8.3,2004
tt0364569,Oldboy (2003),8.4,2003
tt0367110,Swades: We\, the People (2004),8.5,2004
tt0372784,Batman Begins (2005),8.3,2005
tt0381681,Before Sunset (2004),8.1,2004
tt0395169,Hotel Ruanda (2004),8.2,2004
tt0401383,Schmetterling und Taucherglocke (2007),8.1,2007
tt0401792,Sin City (2005),8.2,2005
tt0405094,Das Leben der Anderen (2006),8.5,2006
tt0405159,Million Dollar Baby (2004),8.1,2004
tt0405508,Rang De Basanti (2006),8.6,2006
tt0407887,Departed - Unter Feinden (2006),8.5,2006
tt0434409,V wie Vendetta (2005),8.2,2005
tt0435761,Toy Story 3 (2010),8.5,2010
tt0440963,Das Bourne Ultimatum (2007),8.1,2007
tt0457430,Pans Labyrinth (2006),8.3,2006
tt0468569,The Dark Knight (2008),9.0,2008
tt0469494,There Will Be Blood (2007),8.1,2007
tt0477348,No Country for Old Men (2007),8.2,2007
tt0482571,Prestige - Die Meister der Magie (2006),8.5,2006
tt0758758,Into the Wild (2007),8.2,2007
tt0796366,Star Trek (2009),8.1,2009
tt0848228,Marvel's The Avengers (2012),8.2,2012
tt0892769,Drachenzähmen leicht gemacht (2010),8.2,2010
tt0910970,WALL·E - Der letzte räumt die Erde auf (2008),8.5,2008
tt0947798,Black Swan (2010),8.1,2010
tt0978762,Mary & Max\, oder - Schrumpfen Schafe\, wenn es regnet (2009),8.2,2009
tt0986264,Taare Zameen Par (2007),8.6,2007
tt0993846,The Wolf of Wall Street (2013),8.4,2013
tt1010048,Slumdog Millionär (2008),8.1,2008
tt1028532,Hachiko - Eine wunderbare Freundschaft (2009),8.2,2009
tt1049413,Oben (2009),8.3,2009
tt1130884,Shutter Island (2010),8.1,2010
tt1170358,Der Hobbit - Smaugs Einöde (2013),8.1,2013
tt1187043,3 Idiots (2009),8.5,2009
tt1201607,Harry Potter und die Heiligtümer des Todes - Teil 2 (2011),8.1,2011
tt1205489,Gran Torino (2008),8.2,2008
tt1220719,Ip Man (2008),8.1,2008
tt1255953,Die Frau die singt - Incendies (2010),8.2,2010
tt1291584,Warrior (2011),8.3,2011
tt1305806,In ihren Augen (2009),8.3,2009
tt1345836,The Dark Knight Rises (2012),8.6,2012
tt1375666,Inception (2010),8.8,2010
tt1392214,Prisoners (2013),8.1,2013
tt1454029,The Help (2011),8.1,2011
tt1454468,Gravity (2013),8.1,2013
tt1490017,Lego (2014),8.3,2014
tt1504320,The King's Speech (2010),8.1,2010
tt1555149,Tropa de Elite 2 - O Inimigo Agora É Outro (2010),8.1,2010
tt1675434,Ziemlich beste Freunde (2011),8.6,2011
tt1798709,Her (2013),8.3,2013
tt1832382,Nader und Simin - eine Trennung (2011),8.5,2011
tt1853728,Django Unchained (2012),8.5,2012
tt1979320,Rush - Alles für den Sieg (2013),8.3,2013
tt2024544,12 Years a Slave (2013),8.3,2013
tt2106476,Die Jagd (2012),8.3,2012
